ip_address,page,timeSpent
127.0.0.1,map,0.73
127.0.0.1,map,1.596
127.0.0.1,map,1.345
127.0.0.1,map,1.122
127.0.0.1,map,1.363
127.0.0.1,map,1.177
127.0.0.1,map,1.054
127.0.0.1,map,5.878
127.0.0.1,map,1.712
127.0.0.1,map,0.176
